,ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,RelIncAtLev,JobSwitchRate
59,59,37,No,Rare,RnD,1,4,Life Sciences,77,1,Male,2,2,Manufacturing Director,3,Single,5993,1,No,18,3,3,1,7,2,4,7,5,0,7,653.0,0.143
60,60,32,No,Rare,RnD,1,3,Medical,78,1,Male,3,2,Manufacturing Director,4,Married,6162,1,Yes,22,4,2,1,9,3,3,9,8,7,8,822.0,0.111
61,61,38,No,Frequent,RnD,29,5,Life Sciences,79,4,Female,3,2,Laboratory Technician,4,Single,2406,1,No,11,3,4,0,10,2,3,10,3,9,9,-2934.0,0.1
62,62,50,No,Rare,RnD,7,2,Medical,80,2,Female,2,5,Research Director,3,Single,18740,5,Yes,12,3,4,1,29,2,2,27,3,13,8,-492.0,0.172
63,63,59,No,Rare,Sales,25,3,Life Sciences,81,1,Female,3,3,Sales Executive,1,Single,7637,7,No,11,3,4,0,28,3,2,21,16,7,9,-2343.0,0.25
64,64,36,No,Rare,RnD,8,3,Technical Degree,83,3,Female,3,3,Healthcare Representative,3,Single,10096,1,No,13,3,2,3,17,2,3,17,14,12,8,116.0,0.059
65,65,55,No,Rare,RnD,8,3,Medical,84,4,Female,3,4,Manager,3,Single,14756,2,Yes,14,3,3,3,21,2,3,5,0,0,2,-1398.0,0.095
66,66,36,No,Frequent,RnD,11,3,Life Sciences,85,2,Male,2,2,Manufacturing Director,2,Single,6499,1,No,13,3,3,0,6,3,3,6,5,0,3,1159.0,0.167
67,67,45,No,Rare,RnD,7,3,Life Sciences,86,2,Male,3,3,Research Scientist,1,Single,9724,2,No,17,3,3,1,25,2,3,1,0,0,0,-256.0,0.08
68,68,35,No,Frequent,RnD,1,3,Medical,88,2,Male,3,1,Research Scientist,1,Married,2194,4,No,13,3,4,1,5,2,2,3,2,1,2,-476.0,0.8
70,70,59,No,Frequent,Sales,1,1,Life Sciences,91,1,Female,2,2,Sales Executive,3,Single,5473,7,No,11,3,4,0,20,2,2,4,3,1,3,133.0,0.35
71,71,29,No,Rare,RnD,2,3,Life Sciences,94,3,Male,3,1,Research Scientist,2,Married,2703,0,No,23,4,4,1,6,3,3,5,4,0,4,33.0,0.0
72,72,31,No,Rare,RnD,1,4,Medical,95,3,Male,3,1,Research Scientist,2,Single,2501,1,No,17,3,2,0,1,4,3,1,1,1,0,-169.0,1.0
73,73,32,No,Rare,RnD,1,3,Life Sciences,96,2,Male,3,2,Research Scientist,2,Married,6220,1,No,17,3,2,2,10,3,3,10,4,0,9,880.0,0.1
74,74,36,No,Rare,RnD,6,3,Life Sciences,97,2,Female,4,1,Laboratory Technician,4,Married,3038,3,No,12,3,2,0,5,3,3,1,0,0,0,368.0,0.6
75,75,31,No,Rare,RnD,8,4,Life Sciences,98,3,Female,3,2,Manufacturing Director,4,Single,4424,1,No,23,4,4,0,11,2,3,11,7,1,8,-916.0,0.091
76,76,35,No,Rare,Sales,1,4,Marketing,100,3,Male,2,2,Sales Executive,1,Single,4312,0,No,14,3,2,0,16,2,3,15,13,2,8,-1028.0,0.0
77,77,45,No,Rare,RnD,6,4,Other,101,4,Male,3,3,Research Director,1,Married,13245,4,Yes,14,3,2,0,17,3,4,0,0,0,0,3265.0,0.235
78,78,37,No,Rare,RnD,7,4,Medical,102,1,Male,3,3,Research Director,3,Single,13664,4,No,13,3,1,0,16,3,4,5,2,0,2,3684.0,0.25
79,79,46,No,Rare,HR,5,2,Medical,103,2,Male,3,2,Human Resources,2,Single,5021,8,Yes,22,4,4,1,16,2,3,4,2,0,2,-319.0,0.5
80,80,30,No,Rare,RnD,1,1,Life Sciences,104,4,Male,2,2,Laboratory Technician,4,Married,5126,1,Yes,12,3,3,2,10,1,2,10,8,3,0,-214.0,0.1
81,81,35,No,Rare,RnD,1,3,Medical,105,2,Male,2,1,Research Scientist,3,Single,2859,1,No,18,3,1,0,6,3,3,6,4,0,4,189.0,0.167
82,82,55,No,Rare,Sales,1,2,Life Sciences,106,1,Male,3,3,Sales Executive,4,Married,10239,3,No,14,3,4,1,24,4,3,1,0,1,0,259.0,0.125
83,83,38,No,None,RnD,6,3,Medical,107,2,Female,1,2,Research Scientist,4,Single,5329,7,Yes,12,3,4,3,17,3,3,13,11,1,9,-11.0,0.412
84,84,34,No,Rare,RnD,1,2,Medical,110,1,Male,3,2,Manufacturing Director,2,Married,4325,1,No,15,3,3,0,5,2,3,5,2,1,3,-1015.0,0.2
85,85,56,No,Rare,RnD,7,3,Life Sciences,112,4,Male,1,3,Manufacturing Director,4,Single,7260,4,No,11,3,1,0,37,3,2,6,4,0,2,-2720.0,0.108
86,86,23,No,Rare,Sales,2,1,Technical Degree,113,3,Male,3,1,Sales Representative,1,Single,2322,3,No,13,3,3,1,3,3,3,0,0,0,0,-348.0,1.0
87,87,51,No,Rare,RnD,9,4,Life Sciences,116,4,Male,3,1,Laboratory Technician,4,Married,2075,3,No,23,4,2,2,10,4,3,4,2,0,3,-595.0,0.3
88,88,30,No,Rare,RnD,2,3,Life Sciences,117,3,Male,2,2,Healthcare Representative,4,Married,4152,1,No,19,3,1,3,11,3,3,11,10,10,8,-1188.0,0.091
90,90,40,No,Frequent,RnD,1,4,Life Sciences,119,3,Male,2,4,Healthcare Representative,2,Married,13503,1,No,22,4,4,1,22,3,2,22,3,11,11,-2651.0,0.045
91,91,51,No,Rare,Sales,21,4,Marketing,120,3,Male,3,2,Sales Executive,4,Single,5441,0,Yes,22,4,4,0,11,2,1,10,7,1,0,101.0,0.0
92,92,30,No,Rare,Sales,4,2,Medical,121,3,Female,2,2,Sales Executive,2,Single,5209,1,Yes,12,3,2,3,11,4,2,11,8,2,7,-131.0,0.091
93,93,46,No,Frequent,RnD,1,3,Medical,124,3,Male,2,3,Healthcare Representative,1,Married,10673,2,Yes,13,3,3,1,21,5,2,10,9,9,5,693.0,0.095
94,94,32,No,Rare,Sales,6,4,Medical,125,2,Male,3,2,Sales Executive,3,Single,5010,1,No,16,3,1,0,12,0,3,11,8,5,7,-330.0,0.083
95,95,54,No,Rare,RnD,2,4,Technical Degree,126,1,Female,3,3,Research Director,3,Married,13549,9,No,12,3,1,1,16,5,1,4,3,0,3,3569.0,0.562
96,96,24,No,Rare,Sales,3,2,Other,128,1,Female,3,2,Sales Executive,3,Married,4999,0,No,21,4,1,1,4,2,2,3,2,0,2,-341.0,0.0
97,97,28,No,None,Sales,4,3,Medical,129,2,Male,3,2,Sales Executive,3,Married,4221,1,No,15,3,2,0,5,3,4,5,4,0,4,-1119.0,0.2
98,98,58,No,Rare,Sales,10,4,Medical,131,4,Male,3,4,Sales Executive,3,Single,13872,0,No,13,3,3,0,38,1,2,37,10,1,8,-2282.0,0.0
99,99,44,No,None,RnD,23,3,Medical,132,2,Male,3,2,Laboratory Technician,2,Married,2042,4,No,12,3,3,1,17,3,4,3,2,1,2,-3298.0,0.235
101,101,32,No,Rare,RnD,1,1,Life Sciences,134,4,Male,3,1,Research Scientist,1,Single,2956,1,No,13,3,4,0,1,2,3,1,0,0,0,286.0,1.0
103,103,34,No,Rare,RnD,6,4,Other,138,1,Female,3,2,Research Scientist,3,Single,4809,1,No,14,3,3,0,16,3,3,16,13,2,10,-531.0,0.062
104,104,37,No,None,RnD,2,2,Life Sciences,139,3,Male,2,2,Healthcare Representative,4,Single,5163,5,No,14,3,4,1,17,2,4,1,0,0,0,-177.0,0.294
105,105,59,No,None,HR,2,4,Human Resources,140,3,Female,2,5,Manager,4,Married,18844,9,No,21,4,4,1,30,3,3,3,2,2,2,-388.0,0.3
106,106,50,No,Frequent,RnD,1,3,Life Sciences,141,1,Female,3,5,Research Director,2,Married,18172,3,Yes,19,3,1,0,28,1,2,8,3,0,7,-1060.0,0.107
108,108,25,No,Rare,RnD,7,1,Medical,143,4,Male,2,1,Research Scientist,4,Married,2889,1,No,11,3,3,2,2,2,3,2,2,2,1,219.0,0.5
109,109,22,No,Rare,RnD,15,3,Medical,144,2,Female,3,1,Laboratory Technician,4,Single,2871,1,No,15,3,3,0,1,5,3,0,0,0,0,201.0,1.0
110,110,51,No,Frequent,RnD,1,4,Medical,145,1,Female,2,3,Healthcare Representative,1,Single,7484,3,No,20,4,3,0,23,1,2,13,12,12,8,-2496.0,0.13
112,112,54,No,None,HR,26,3,Human Resources,148,4,Female,4,4,Manager,4,Single,17328,2,Yes,12,3,3,0,23,3,3,5,3,4,4,1174.0,0.087
113,113,24,No,Rare,RnD,18,1,Life Sciences,150,2,Male,3,1,Laboratory Technician,3,Married,2774,0,No,12,3,3,1,6,2,3,5,3,1,2,104.0,0.0
114,114,34,No,Rare,RnD,6,4,Life Sciences,151,3,Female,2,2,Research Scientist,2,Single,4505,6,No,15,3,3,1,12,3,3,1,0,0,0,-835.0,0.5
115,115,37,No,Rare,Sales,3,3,Life Sciences,152,3,Male,3,3,Sales Executive,4,Single,7428,2,No,12,3,1,0,12,3,3,5,3,1,3,-2552.0,0.167
116,116,34,No,Rare,RnD,5,3,Medical,153,3,Female,2,3,Manager,1,Single,11631,2,No,12,3,4,0,14,6,3,11,10,5,8,1651.0,0.143
117,117,36,No,Frequent,Sales,11,2,Technical Degree,154,2,Female,3,3,Sales Executive,4,Married,9738,0,No,14,3,3,1,10,6,3,9,7,2,8,-242.0,0.0
118,118,36,No,Rare,RnD,3,2,Life Sciences,155,1,Female,3,1,Laboratory Technician,4,Single,2835,5,No,22,4,1,1,7,2,3,1,0,0,0,165.0,0.714
119,119,43,No,Frequent,Sales,26,2,Life Sciences,158,3,Male,3,4,Manager,4,Married,16959,1,Yes,12,3,4,2,25,3,4,25,12,4,12,805.0,0.04
120,120,30,No,Frequent,RnD,23,3,Life Sciences,159,1,Male,1,1,Research Scientist,3,Single,2613,1,No,25,4,3,3,10,2,2,10,7,0,9,-57.0,0.1
121,121,33,No,None,Sales,22,2,Marketing,160,3,Male,3,2,Sales Executive,2,Married,6146,0,No,13,3,1,1,8,2,4,7,7,0,7,806.0,0.0
123,123,51,No,Rare,RnD,6,3,Life Sciences,162,1,Male,3,5,Research Director,3,Single,19537,7,No,13,3,3,0,23,5,3,20,18,15,15,305.0,0.304
125,125,26,No,Rare,RnD,6,3,Other,164,3,Female,2,1,Research Scientist,2,Married,2368,1,No,19,3,3,0,5,3,2,5,4,4,3,-302.0,0.2
128,128,22,No,Rare,RnD,2,1,Technical Degree,169,3,Male,3,1,Laboratory Technician,4,Married,2523,0,No,14,3,3,1,3,2,3,2,1,2,1,-147.0,0.0
129,129,49,No,Rare,RnD,20,4,Medical,170,3,Female,3,2,Manufacturing Director,1,Married,6567,1,No,14,3,3,0,16,2,2,15,11,5,11,1227.0,0.062
130,130,43,No,Frequent,RnD,28,3,Medical,171,2,Female,4,1,Research Scientist,3,Single,4739,4,No,12,3,4,0,18,2,3,3,2,1,2,2069.0,0.222
131,131,50,No,Frequent,Sales,12,3,Marketing,174,3,Female,3,3,Sales Executive,4,Single,9208,4,No,11,3,4,0,16,3,3,2,2,2,1,-772.0,0.25
133,133,41,No,Rare,Sales,9,1,Life Sciences,176,3,Male,3,3,Sales Executive,3,Single,8189,3,Yes,13,3,3,1,12,2,3,9,7,0,7,-1791.0,0.25
134,134,26,No,Rare,HR,25,1,Life Sciences,177,3,Female,3,1,Human Resources,3,Married,2942,1,No,23,4,4,1,8,3,3,8,7,5,7,272.0,0.125
135,135,36,No,Rare,RnD,6,2,Medical,178,2,Male,3,2,Manufacturing Director,2,Single,4941,6,No,20,4,4,2,7,0,3,3,2,0,1,-399.0,0.857
137,137,39,No,Rare,Sales,4,4,Life Sciences,182,4,Female,2,2,Sales Executive,3,Married,5902,4,No,14,3,3,1,17,1,4,15,11,5,9,562.0,0.235
138,138,25,No,Rare,Sales,28,3,Life Sciences,183,1,Male,2,2,Sales Executive,3,Married,8639,2,No,18,3,4,0,6,3,3,2,2,2,2,3299.0,0.333
139,139,30,No,Rare,HR,9,3,Human Resources,184,3,Male,3,2,Human Resources,4,Married,6347,0,Yes,19,3,4,0,12,2,1,11,9,4,7,1007.0,0.0
141,141,45,No,Rare,RnD,29,3,Medical,192,3,Male,3,1,Research Scientist,4,Single,3452,5,No,13,3,2,0,9,2,2,6,5,0,3,782.0,0.556
142,142,38,No,Rare,RnD,3,5,Technical Degree,193,4,Female,3,2,Research Scientist,3,Single,4317,3,Yes,20,4,2,0,19,2,3,3,2,2,2,-1023.0,0.158
143,143,30,No,Rare,RnD,18,3,Life Sciences,194,1,Female,3,1,Research Scientist,3,Single,2632,1,No,14,3,3,0,5,4,2,5,4,0,4,-38.0,0.2
144,144,32,No,Frequent,Sales,9,2,Medical,195,4,Male,1,2,Sales Executive,4,Single,4668,0,No,17,3,4,3,9,2,4,8,7,0,7,-672.0,0.0
145,145,30,No,Rare,RnD,5,3,Technical Degree,197,4,Female,3,1,Research Scientist,1,Single,3204,5,No,14,3,4,1,8,3,3,3,2,2,2,534.0,0.625
146,146,30,No,Rare,RnD,2,1,Medical,198,2,Male,2,1,Laboratory Technician,4,Single,2720,0,No,13,3,4,0,6,3,3,5,3,1,2,50.0,0.0
147,147,41,No,Frequent,RnD,10,3,Life Sciences,199,4,Male,2,4,Manager,1,Single,17181,4,No,13,3,2,1,21,2,2,7,6,7,7,1027.0,0.19
148,148,41,No,Rare,RnD,9,4,Life Sciences,200,3,Male,3,1,Laboratory Technician,1,Married,2238,2,No,21,4,4,1,7,2,3,5,0,1,4,-432.0,0.286
149,149,19,No,Rare,RnD,3,1,Medical,201,2,Female,3,1,Laboratory Technician,2,Single,1483,1,No,14,3,4,0,1,3,3,1,0,0,0,-1187.0,1.0
150,150,40,No,Frequent,RnD,26,3,Medical,202,2,Female,3,2,Research Scientist,2,Single,5605,1,No,11,3,1,1,20,2,3,20,7,2,13,265.0,0.05
151,151,35,No,Rare,Sales,1,5,Marketing,204,3,Male,3,3,Sales Executive,2,Married,7295,1,No,13,3,1,2,10,3,3,10,8,0,6,-2685.0,0.1
152,152,53,No,Rare,Sales,6,2,Marketing,205,2,Male,3,2,Sales Representative,3,Married,2306,2,Yes,20,4,4,1,13,3,1,7,7,4,5,-3034.0,0.154
153,153,45,No,Rare,RnD,9,3,Life Sciences,206,2,Male,3,2,Laboratory Technician,2,Single,2348,8,No,18,3,3,1,20,2,1,17,9,0,15,-2992.0,0.4
154,154,32,No,Frequent,Sales,8,3,Marketing,207,2,Female,3,3,Sales Executive,4,Single,8998,1,No,14,3,4,0,9,2,3,9,8,3,7,-982.0,0.111
155,155,29,No,None,RnD,1,1,Technical Degree,208,4,Male,3,2,Manufacturing Director,3,Married,4319,1,No,13,3,1,1,10,1,3,10,7,0,9,-1021.0,0.1
156,156,51,No,Rare,RnD,7,4,Medical,211,2,Male,2,2,Manufacturing Director,3,Married,6132,2,No,17,3,3,0,10,2,3,1,0,0,0,792.0,0.2
157,157,58,No,Rare,RnD,9,3,Medical,214,2,Female,2,1,Research Scientist,2,Married,3346,4,Yes,20,4,2,1,9,3,2,1,0,0,0,676.0,0.444
158,158,40,No,Rare,Sales,4,4,Marketing,215,3,Male,2,3,Sales Executive,4,Married,10855,7,No,11,3,1,1,15,2,2,12,11,2,11,875.0,0.467
159,159,34,No,Frequent,Sales,2,4,Marketing,216,3,Female,3,1,Sales Representative,3,Married,2231,6,No,18,3,4,1,6,3,3,4,3,1,2,-439.0,1.0
160,160,22,No,Rare,RnD,19,1,Medical,217,3,Male,3,1,Research Scientist,4,Married,2323,1,No,24,4,1,2,2,6,3,2,2,2,2,-347.0,0.5
161,161,27,No,None,RnD,9,3,Medical,218,4,Male,3,1,Research Scientist,2,Single,2024,6,No,18,3,4,1,6,1,1,2,2,2,2,-646.0,1.0
162,162,28,No,Rare,RnD,21,3,Medical,221,3,Male,3,1,Research Scientist,4,Married,2713,1,No,11,3,3,1,5,2,1,5,2,0,2,43.0,0.2
163,163,57,No,Rare,RnD,24,2,Life Sciences,223,3,Male,4,3,Healthcare Representative,4,Single,9439,3,Yes,16,3,2,1,12,2,1,5,3,1,4,-541.0,0.25
164,164,27,No,None,RnD,3,3,Medical,224,3,Male,2,1,Research Scientist,3,Single,2566,1,Yes,15,3,4,1,1,2,2,1,1,0,1,-104.0,1.0
165,165,50,No,Rare,RnD,11,3,Life Sciences,226,3,Female,3,5,Manager,2,Single,19926,3,No,15,3,2,0,21,5,3,5,4,4,4,694.0,0.143
166,166,41,No,Rare,RnD,14,3,Life Sciences,227,1,Male,3,1,Research Scientist,3,Single,2451,4,No,12,3,1,1,13,2,3,9,8,1,8,-219.0,0.308
167,167,30,No,Rare,Sales,5,3,Life Sciences,228,2,Female,3,3,Sales Executive,4,Married,9419,2,No,12,3,3,1,12,2,3,10,9,7,4,-561.0,0.167
168,168,38,No,Rare,Sales,1,4,Life Sciences,230,1,Female,2,2,Sales Executive,4,Single,8686,4,No,22,4,3,0,12,2,4,8,3,0,7,3346.0,0.333
169,169,32,No,Rare,RnD,6,5,Life Sciences,231,3,Male,3,1,Research Scientist,3,Single,3038,3,No,20,4,1,0,8,2,3,5,4,1,4,368.0,0.375
170,170,27,No,Rare,RnD,17,3,Technical Degree,233,3,Male,3,1,Research Scientist,2,Married,3058,0,Yes,16,3,4,1,6,3,2,5,2,1,1,388.0,0.0
172,172,36,No,Frequent,RnD,3,2,Medical,238,4,Male,3,1,Laboratory Technician,2,Single,2088,4,No,12,3,3,0,13,3,2,8,7,7,2,-582.0,0.308
173,173,30,No,None,RnD,9,3,Medical,239,3,Male,3,2,Laboratory Technician,1,Single,3072,1,No,11,3,3,2,12,4,3,12,9,6,10,-2268.0,0.083
174,174,45,No,Rare,Sales,4,2,Life Sciences,240,3,Female,3,2,Sales Executive,1,Single,5006,4,Yes,11,3,1,1,9,3,4,5,4,0,3,-334.0,0.444
175,175,56,No,Rare,RnD,8,3,Life Sciences,241,3,Female,3,1,Research Scientist,1,Single,4257,4,Yes,18,3,3,1,19,3,3,2,2,2,2,1587.0,0.211
176,176,33,No,Rare,RnD,2,3,Life Sciences,242,3,Male,3,1,Research Scientist,4,Single,2500,0,No,14,3,1,0,4,2,4,3,1,0,2,-170.0,0.0
178,178,46,No,Rare,Sales,1,2,Marketing,244,2,Female,3,3,Sales Executive,1,Single,10453,1,No,25,4,3,3,24,2,3,24,13,15,7,473.0,0.042
179,179,38,No,Rare,RnD,9,2,Life Sciences,245,3,Female,3,1,Laboratory Technician,4,Single,2288,1,No,12,3,3,0,2,3,3,2,2,2,1,-382.0,0.5
180,180,31,No,Rare,RnD,12,1,Medical,246,3,Female,3,1,Research Scientist,4,Married,3929,8,Yes,23,4,3,1,7,0,3,4,2,0,2,1259.0,1.143
181,181,34,No,Rare,RnD,27,2,Medical,247,4,Female,3,1,Research Scientist,2,Single,2311,2,No,15,3,4,0,9,3,3,3,2,1,2,-359.0,0.222
