,ID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,RelIncAtLev,JobSwitchRate
35,35,43,No,Rare,RnD,2,2,Medical,46,4,Female,4,1,Research Scientist,3,Single,2645.0,1,No,12,3,4,2,6,3,2,5,3,1,4,-62.100000000000364,0.167
36,36,50,Yes,Rare,Sales,3,2,Marketing,47,1,Male,2,1,Sales Representative,3,Married,2951.3,1,Yes,14,3,3,0,3,2,3,3,2,0,2,244.19999999999982,0.333
37,37,35,No,Rare,Sales,2,3,Marketing,49,4,Female,3,1,Sales Representative,4,Married,2014.0,1,No,13,3,1,0,2,3,3,2,2,2,2,-693.1000000000004,0.5
38,38,36,No,Rare,RnD,5,4,Life Sciences,51,2,Female,2,1,Research Scientist,1,Married,3419.0,9,Yes,14,3,4,1,6,3,4,1,1,0,0,711.8999999999996,1.5
39,39,33,No,Frequent,Sales,1,3,Life Sciences,52,3,Female,4,2,Sales Executive,1,Married,5376.0,2,No,19,3,1,2,10,3,3,5,3,1,3,-0.5,0.2
40,40,35,No,Rare,RnD,4,2,Other,53,3,Male,3,1,Laboratory Technician,4,Single,1951.0,1,No,12,3,3,1,1,3,3,1,0,0,0,-756.1000000000004,1.0
41,41,27,No,Rare,RnD,2,4,Life Sciences,54,4,Female,3,1,Laboratory Technician,1,Single,2341.0,1,No,13,3,4,1,1,6,3,1,0,0,0,-366.10000000000036,1.0
42,42,26,Yes,Rare,RnD,25,3,Life Sciences,55,1,Male,1,1,Laboratory Technician,3,Single,2522.3,1,No,12,3,3,0,1,2,2,1,0,0,1,-184.80000000000018,1.0
43,43,27,No,Frequent,Sales,8,3,Life Sciences,56,4,Male,3,3,Sales Executive,3,Single,8726.0,1,No,15,3,4,0,9,0,3,9,8,1,7,-1384.0,0.111
44,44,30,No,Frequent,RnD,1,2,Medical,57,3,Female,3,2,Laboratory Technician,4,Single,4011.0,1,No,23,4,4,0,12,2,3,12,8,3,7,-1365.5,0.083
45,45,41,Yes,Rare,RnD,12,3,Technical Degree,58,2,Female,3,5,Research Director,3,Married,21499.5,1,No,12,3,4,0,23,0,3,22,15,15,8,2262.5,0.043
46,46,34,No,None,Sales,23,4,Marketing,60,2,Male,3,2,Sales Executive,3,Single,4568.0,0,No,20,4,3,0,10,2,3,9,5,8,7,-808.5,0.0
47,47,37,No,Rare,RnD,19,2,Life Sciences,61,2,Male,3,1,Research Scientist,2,Married,3022.0,4,No,21,4,1,0,8,1,3,1,0,0,0,314.89999999999964,0.5
48,48,46,No,Frequent,Sales,5,4,Marketing,62,1,Male,3,2,Sales Executive,4,Single,5772.0,4,Yes,21,4,3,0,14,4,3,9,6,0,8,395.5,0.286
49,49,35,No,Rare,RnD,8,1,Life Sciences,63,4,Male,4,1,Laboratory Technician,4,Married,2269.0,1,No,19,3,4,0,1,2,3,1,0,0,1,-438.10000000000036,1.0
50,50,48,Yes,Rare,RnD,1,2,Life Sciences,64,1,Male,2,3,Laboratory Technician,3,Single,5919.1,9,Yes,13,3,4,0,23,2,3,1,0,0,0,-4190.9,0.391
51,51,28,Yes,Rare,RnD,5,4,Technical Degree,65,3,Male,3,1,Laboratory Technician,3,Single,3785.1000000000004,1,Yes,13,3,3,0,2,3,2,2,2,2,2,1078.0,0.5
52,52,44,No,Rare,Sales,1,5,Marketing,68,2,Female,3,2,Sales Executive,1,Single,5454.0,5,Yes,21,4,3,1,9,2,2,4,3,1,3,77.5,0.556
53,53,35,No,None,RnD,11,2,Medical,70,3,Male,2,3,Healthcare Representative,1,Married,9884.0,2,Yes,13,3,3,1,10,3,3,4,0,2,3,-226.0,0.2
54,54,26,No,Rare,Sales,23,3,Marketing,72,3,Female,2,2,Sales Executive,4,Married,4157.0,7,Yes,19,3,3,1,5,2,2,2,2,0,0,-1219.5,1.4
55,55,33,No,Frequent,RnD,1,2,Life Sciences,73,1,Female,3,3,Research Director,4,Single,13458.0,1,Yes,12,3,3,0,15,1,3,15,14,8,12,3348.0,0.067
56,56,35,No,Frequent,Sales,18,5,Life Sciences,74,2,Male,3,3,Sales Executive,1,Married,9069.0,1,No,22,4,4,1,9,3,2,9,8,1,8,-1041.0,0.111
57,57,35,No,Rare,RnD,23,4,Medical,75,3,Female,3,1,Laboratory Technician,1,Married,4014.0,3,Yes,15,3,3,1,4,3,3,2,2,2,2,1306.8999999999996,0.75
58,58,31,No,Rare,RnD,7,4,Life Sciences,76,4,Male,3,2,Laboratory Technician,4,Single,5915.0,3,No,22,4,4,1,10,3,2,7,7,1,7,538.5,0.3
59,59,37,No,Rare,RnD,1,4,Life Sciences,77,1,Male,2,2,Manufacturing Director,3,Single,5993.0,1,No,18,3,3,1,7,2,4,7,5,0,7,616.5,0.143
60,60,32,No,Rare,RnD,1,3,Medical,78,1,Male,3,2,Manufacturing Director,4,Married,6162.0,1,Yes,22,4,2,1,9,3,3,9,8,7,8,785.5,0.111
61,61,38,No,Frequent,RnD,29,5,Life Sciences,79,4,Female,3,2,Laboratory Technician,4,Single,2406.0,1,No,11,3,4,0,10,2,3,10,3,9,9,-2970.5,0.1
62,62,50,No,Rare,RnD,7,2,Medical,80,2,Female,2,5,Research Director,3,Single,18740.0,5,Yes,12,3,4,1,29,2,2,27,3,13,8,-497.0,0.172
63,63,59,No,Rare,Sales,25,3,Life Sciences,81,1,Female,3,3,Sales Executive,1,Single,7637.0,7,No,11,3,4,0,28,3,2,21,16,7,9,-2473.0,0.25
64,64,36,No,Rare,RnD,8,3,Technical Degree,83,3,Female,3,3,Healthcare Representative,3,Single,10096.0,1,No,13,3,2,3,17,2,3,17,14,12,8,-14.0,0.059
65,65,55,No,Rare,RnD,8,3,Medical,84,4,Female,3,4,Manager,3,Single,14756.0,2,Yes,14,3,3,3,21,2,3,5,0,0,2,-1398.0,0.095
66,66,36,No,Frequent,RnD,11,3,Life Sciences,85,2,Male,2,2,Manufacturing Director,2,Single,6499.0,1,No,13,3,3,0,6,3,3,6,5,0,3,1122.5,0.167
67,67,45,No,Rare,RnD,7,3,Life Sciences,86,2,Male,3,3,Research Scientist,1,Single,9724.0,2,No,17,3,3,1,25,2,3,1,0,0,0,-386.0,0.08
68,68,35,No,Frequent,RnD,1,3,Medical,88,2,Male,3,1,Research Scientist,1,Married,2194.0,4,No,13,3,4,1,5,2,2,3,2,1,2,-513.1000000000004,0.8
69,69,36,Yes,Rare,RnD,9,3,Medical,90,4,Male,2,1,Research Scientist,3,Married,3726.8,0,Yes,17,3,1,1,2,0,2,1,0,0,0,1019.6999999999998,0.0
70,70,59,No,Frequent,Sales,1,1,Life Sciences,91,1,Female,2,2,Sales Executive,3,Single,5473.0,7,No,11,3,4,0,20,2,2,4,3,1,3,96.5,0.35
71,71,29,No,Rare,RnD,2,3,Life Sciences,94,3,Male,3,1,Research Scientist,2,Married,2703.0,0,No,23,4,4,1,6,3,3,5,4,0,4,-4.100000000000364,0.0
72,72,31,No,Rare,RnD,1,4,Medical,95,3,Male,3,1,Research Scientist,2,Single,2501.0,1,No,17,3,2,0,1,4,3,1,1,1,0,-206.10000000000036,1.0
73,73,32,No,Rare,RnD,1,3,Life Sciences,96,2,Male,3,2,Research Scientist,2,Married,6220.0,1,No,17,3,2,2,10,3,3,10,4,0,9,843.5,0.1
74,74,36,No,Rare,RnD,6,3,Life Sciences,97,2,Female,4,1,Laboratory Technician,4,Married,3038.0,3,No,12,3,2,0,5,3,3,1,0,0,0,330.89999999999964,0.6
75,75,31,No,Rare,RnD,8,4,Life Sciences,98,3,Female,3,2,Manufacturing Director,4,Single,4424.0,1,No,23,4,4,0,11,2,3,11,7,1,8,-952.5,0.091
76,76,35,No,Rare,Sales,1,4,Marketing,100,3,Male,2,2,Sales Executive,1,Single,4312.0,0,No,14,3,2,0,16,2,3,15,13,2,8,-1064.5,0.0
77,77,45,No,Rare,RnD,6,4,Other,101,4,Male,3,3,Research Director,1,Married,13245.0,4,Yes,14,3,2,0,17,3,4,0,0,0,0,3135.0,0.235
78,78,37,No,Rare,RnD,7,4,Medical,102,1,Male,3,3,Research Director,3,Single,13664.0,4,No,13,3,1,0,16,3,4,5,2,0,2,3554.0,0.25
79,79,46,No,Rare,HR,5,2,Medical,103,2,Male,3,2,Human Resources,2,Single,5021.0,8,Yes,22,4,4,1,16,2,3,4,2,0,2,-355.5,0.5
80,80,30,No,Rare,RnD,1,1,Life Sciences,104,4,Male,2,2,Laboratory Technician,4,Married,5126.0,1,Yes,12,3,3,2,10,1,2,10,8,3,0,-250.5,0.1
81,81,35,No,Rare,RnD,1,3,Medical,105,2,Male,2,1,Research Scientist,3,Single,2859.0,1,No,18,3,1,0,6,3,3,6,4,0,4,151.89999999999964,0.167
82,82,55,No,Rare,Sales,1,2,Life Sciences,106,1,Male,3,3,Sales Executive,4,Married,10239.0,3,No,14,3,4,1,24,4,3,1,0,1,0,129.0,0.125
83,83,38,No,None,RnD,6,3,Medical,107,2,Female,1,2,Research Scientist,4,Single,5329.0,7,Yes,12,3,4,3,17,3,3,13,11,1,9,-47.5,0.412
84,84,34,No,Rare,RnD,1,2,Medical,110,1,Male,3,2,Manufacturing Director,2,Married,4325.0,1,No,15,3,3,0,5,2,3,5,2,1,3,-1051.5,0.2
85,85,56,No,Rare,RnD,7,3,Life Sciences,112,4,Male,1,3,Manufacturing Director,4,Single,7260.0,4,No,11,3,1,0,37,3,2,6,4,0,2,-2850.0,0.108
86,86,23,No,Rare,Sales,2,1,Technical Degree,113,3,Male,3,1,Sales Representative,1,Single,2322.0,3,No,13,3,3,1,3,3,3,0,0,0,0,-385.10000000000036,1.0
87,87,51,No,Rare,RnD,9,4,Life Sciences,116,4,Male,3,1,Laboratory Technician,4,Married,2075.0,3,No,23,4,2,2,10,4,3,4,2,0,3,-632.1000000000004,0.3
88,88,30,No,Rare,RnD,2,3,Life Sciences,117,3,Male,2,2,Healthcare Representative,4,Married,4152.0,1,No,19,3,1,3,11,3,3,11,10,10,8,-1224.5,0.091
89,89,46,Yes,Rare,Sales,9,2,Medical,118,3,Male,2,3,Sales Executive,4,Single,10580.900000000001,1,No,16,3,4,0,9,3,3,9,8,4,7,470.90000000000146,0.111
90,90,40,No,Frequent,RnD,1,4,Life Sciences,119,3,Male,2,4,Healthcare Representative,2,Married,13503.0,1,No,22,4,4,1,22,3,2,22,3,11,11,-2651.0,0.045
91,91,51,No,Rare,Sales,21,4,Marketing,120,3,Male,3,2,Sales Executive,4,Single,5441.0,0,Yes,22,4,4,0,11,2,1,10,7,1,0,64.5,0.0
92,92,30,No,Rare,Sales,4,2,Medical,121,3,Female,2,2,Sales Executive,2,Single,5209.0,1,Yes,12,3,2,3,11,4,2,11,8,2,7,-167.5,0.091
93,93,46,No,Frequent,RnD,1,3,Medical,124,3,Male,2,3,Healthcare Representative,1,Married,10673.0,2,Yes,13,3,3,1,21,5,2,10,9,9,5,563.0,0.095
94,94,32,No,Rare,Sales,6,4,Medical,125,2,Male,3,2,Sales Executive,3,Single,5010.0,1,No,16,3,1,0,12,0,3,11,8,5,7,-366.5,0.083
95,95,54,No,Rare,RnD,2,4,Technical Degree,126,1,Female,3,3,Research Director,3,Married,13549.0,9,No,12,3,1,1,16,5,1,4,3,0,3,3439.0,0.562
96,96,24,No,Rare,Sales,3,2,Other,128,1,Female,3,2,Sales Executive,3,Married,4999.0,0,No,21,4,1,1,4,2,2,3,2,0,2,-377.5,0.0
97,97,28,No,None,Sales,4,3,Medical,129,2,Male,3,2,Sales Executive,3,Married,4221.0,1,No,15,3,2,0,5,3,4,5,4,0,4,-1155.5,0.2
98,98,58,No,Rare,Sales,10,4,Medical,131,4,Male,3,4,Sales Executive,3,Single,13872.0,0,No,13,3,3,0,38,1,2,37,10,1,8,-2282.0,0.0
99,99,44,No,None,RnD,23,3,Medical,132,2,Male,3,2,Laboratory Technician,2,Married,2042.0,4,No,12,3,3,1,17,3,4,3,2,1,2,-3334.5,0.235
100,100,37,Yes,Rare,HR,6,4,Human Resources,133,3,Male,3,1,Human Resources,1,Single,2280.3,4,Yes,22,4,4,0,7,3,3,3,2,0,2,-426.8000000000002,0.571
101,101,32,No,Rare,RnD,1,1,Life Sciences,134,4,Male,3,1,Research Scientist,1,Single,2956.0,1,No,13,3,4,0,1,2,3,1,0,0,0,248.89999999999964,1.0
102,102,20,Yes,Frequent,RnD,6,3,Life Sciences,137,4,Female,2,1,Laboratory Technician,4,Single,3218.6000000000004,1,Yes,18,3,2,0,1,5,3,1,0,1,0,511.5,1.0
103,103,34,No,Rare,RnD,6,4,Other,138,1,Female,3,2,Research Scientist,3,Single,4809.0,1,No,14,3,3,0,16,3,3,16,13,2,10,-567.5,0.062
104,104,37,No,None,RnD,2,2,Life Sciences,139,3,Male,2,2,Healthcare Representative,4,Single,5163.0,5,No,14,3,4,1,17,2,4,1,0,0,0,-213.5,0.294
105,105,59,No,None,HR,2,4,Human Resources,140,3,Female,2,5,Manager,4,Married,18844.0,9,No,21,4,4,1,30,3,3,3,2,2,2,-393.0,0.3
106,106,50,No,Frequent,RnD,1,3,Life Sciences,141,1,Female,3,5,Research Director,2,Married,18172.0,3,Yes,19,3,1,0,28,1,2,8,3,0,7,-1065.0,0.107
107,107,25,Yes,Rare,Sales,5,3,Marketing,142,3,Male,2,2,Sales Executive,3,Single,6318.400000000001,1,Yes,11,3,4,0,6,1,3,6,4,0,3,941.9000000000005,0.167
108,108,25,No,Rare,RnD,7,1,Medical,143,4,Male,2,1,Research Scientist,4,Married,2889.0,1,No,11,3,3,2,2,2,3,2,2,2,1,181.89999999999964,0.5
109,109,22,No,Rare,RnD,15,3,Medical,144,2,Female,3,1,Laboratory Technician,4,Single,2871.0,1,No,15,3,3,0,1,5,3,0,0,0,0,163.89999999999964,1.0
110,110,51,No,Frequent,RnD,1,4,Medical,145,1,Female,2,3,Healthcare Representative,1,Single,7484.0,3,No,20,4,3,0,23,1,2,13,12,12,8,-2626.0,0.13
111,111,34,Yes,Frequent,RnD,7,3,Life Sciences,147,1,Male,1,2,Laboratory Technician,3,Single,6681.400000000001,1,Yes,24,4,4,0,9,3,3,9,7,0,6,1304.9000000000005,0.111
112,112,54,No,None,HR,26,3,Human Resources,148,4,Female,4,4,Manager,4,Single,17328.0,2,Yes,12,3,3,0,23,3,3,5,3,4,4,1174.0,0.087
113,113,24,No,Rare,RnD,18,1,Life Sciences,150,2,Male,3,1,Laboratory Technician,3,Married,2774.0,0,No,12,3,3,1,6,2,3,5,3,1,2,66.89999999999964,0.0
114,114,34,No,Rare,RnD,6,4,Life Sciences,151,3,Female,2,2,Research Scientist,2,Single,4505.0,6,No,15,3,3,1,12,3,3,1,0,0,0,-871.5,0.5
115,115,37,No,Rare,Sales,3,3,Life Sciences,152,3,Male,3,3,Sales Executive,4,Single,7428.0,2,No,12,3,1,0,12,3,3,5,3,1,3,-2682.0,0.167
116,116,34,No,Rare,RnD,5,3,Medical,153,3,Female,2,3,Manager,1,Single,11631.0,2,No,12,3,4,0,14,6,3,11,10,5,8,1521.0,0.143
117,117,36,No,Frequent,Sales,11,2,Technical Degree,154,2,Female,3,3,Sales Executive,4,Married,9738.0,0,No,14,3,3,1,10,6,3,9,7,2,8,-372.0,0.0
118,118,36,No,Rare,RnD,3,2,Life Sciences,155,1,Female,3,1,Laboratory Technician,4,Single,2835.0,5,No,22,4,1,1,7,2,3,1,0,0,0,127.89999999999964,0.714
119,119,43,No,Frequent,Sales,26,2,Life Sciences,158,3,Male,3,4,Manager,4,Married,16959.0,1,Yes,12,3,4,2,25,3,4,25,12,4,12,805.0,0.04
120,120,30,No,Frequent,RnD,23,3,Life Sciences,159,1,Male,1,1,Research Scientist,3,Single,2613.0,1,No,25,4,3,3,10,2,2,10,7,0,9,-94.10000000000036,0.1
121,121,33,No,None,Sales,22,2,Marketing,160,3,Male,3,2,Sales Executive,2,Married,6146.0,0,No,13,3,1,1,8,2,4,7,7,0,7,769.5,0.0
122,122,56,Yes,Rare,RnD,14,4,Life Sciences,161,2,Female,3,1,Research Scientist,2,Married,5459.3,9,Yes,18,3,1,3,7,2,3,5,4,4,3,2752.2,1.286
123,123,51,No,Rare,RnD,6,3,Life Sciences,162,1,Male,3,5,Research Director,3,Single,19537.0,7,No,13,3,3,0,23,5,3,20,18,15,15,300.0,0.304
124,124,31,Yes,Rare,Sales,6,4,Life Sciences,163,2,Male,1,2,Sales Executive,3,Married,6789.200000000001,4,Yes,18,3,2,0,12,3,2,7,7,7,7,1412.7000000000007,0.333
125,125,26,No,Rare,RnD,6,3,Other,164,3,Female,2,1,Research Scientist,2,Married,2368.0,1,No,19,3,3,0,5,3,2,5,4,4,3,-339.10000000000036,0.2
126,126,58,Yes,Rare,RnD,23,4,Medical,165,4,Female,3,3,Healthcare Representative,4,Married,11343.2,1,No,12,3,4,1,40,3,2,40,10,15,6,1233.2000000000007,0.025
127,127,19,Yes,Rare,Sales,22,1,Marketing,167,4,Male,3,1,Sales Representative,3,Single,1842.5000000000002,1,Yes,19,3,4,0,0,2,2,0,0,0,0,-864.6000000000001,inf
128,128,22,No,Rare,RnD,2,1,Technical Degree,169,3,Male,3,1,Laboratory Technician,4,Married,2523.0,0,No,14,3,3,1,3,2,3,2,1,2,1,-184.10000000000036,0.0
129,129,49,No,Rare,RnD,20,4,Medical,170,3,Female,3,2,Manufacturing Director,1,Married,6567.0,1,No,14,3,3,0,16,2,2,15,11,5,11,1190.5,0.062
130,130,43,No,Frequent,RnD,28,3,Medical,171,2,Female,4,1,Research Scientist,3,Single,4739.0,4,No,12,3,4,0,18,2,3,3,2,1,2,2031.8999999999996,0.222
131,131,50,No,Frequent,Sales,12,3,Marketing,174,3,Female,3,3,Sales Executive,4,Single,9208.0,4,No,11,3,4,0,16,3,3,2,2,2,1,-902.0,0.25
132,132,31,Yes,Rare,Sales,20,3,Life Sciences,175,2,Female,1,2,Sales Executive,3,Married,5014.900000000001,3,Yes,11,3,3,1,4,2,3,2,2,2,2,-361.59999999999945,0.75
133,133,41,No,Rare,Sales,9,1,Life Sciences,176,3,Male,3,3,Sales Executive,3,Single,8189.0,3,Yes,13,3,3,1,12,2,3,9,7,0,7,-1921.0,0.25
134,134,26,No,Rare,HR,25,1,Life Sciences,177,3,Female,3,1,Human Resources,3,Married,2942.0,1,No,23,4,4,1,8,3,3,8,7,5,7,234.89999999999964,0.125
135,135,36,No,Rare,RnD,6,2,Medical,178,2,Male,3,2,Manufacturing Director,2,Single,4941.0,6,No,20,4,4,2,7,0,3,3,2,0,1,-435.5,0.857
136,136,51,Yes,Frequent,RnD,8,4,Life Sciences,179,1,Male,1,3,Manufacturing Director,4,Single,11715.000000000002,2,No,15,3,4,0,18,2,3,4,2,0,3,1605.0000000000018,0.111
137,137,39,No,Rare,Sales,4,4,Life Sciences,182,4,Female,2,2,Sales Executive,3,Married,5902.0,4,No,14,3,3,1,17,1,4,15,11,5,9,525.5,0.235
138,138,25,No,Rare,Sales,28,3,Life Sciences,183,1,Male,2,2,Sales Executive,3,Married,8639.0,2,No,18,3,4,0,6,3,3,2,2,2,2,3262.5,0.333
139,139,30,No,Rare,HR,9,3,Human Resources,184,3,Male,3,2,Human Resources,4,Married,6347.0,0,Yes,19,3,4,0,12,2,1,11,9,4,7,970.5,0.0
140,140,32,Yes,Rare,RnD,9,3,Medical,190,1,Female,3,1,Laboratory Technician,1,Single,4620.0,7,No,22,4,1,0,10,2,4,5,4,0,4,1912.8999999999996,0.7
141,141,45,No,Rare,RnD,29,3,Medical,192,3,Male,3,1,Research Scientist,4,Single,3452.0,5,No,13,3,2,0,9,2,2,6,5,0,3,744.8999999999996,0.556
142,142,38,No,Rare,RnD,3,5,Technical Degree,193,4,Female,3,2,Research Scientist,3,Single,4317.0,3,Yes,20,4,2,0,19,2,3,3,2,2,2,-1059.5,0.158
143,143,30,No,Rare,RnD,18,3,Life Sciences,194,1,Female,3,1,Research Scientist,3,Single,2632.0,1,No,14,3,3,0,5,4,2,5,4,0,4,-75.10000000000036,0.2
144,144,32,No,Frequent,Sales,9,2,Medical,195,4,Male,1,2,Sales Executive,4,Single,4668.0,0,No,17,3,4,3,9,2,4,8,7,0,7,-708.5,0.0
145,145,30,No,Rare,RnD,5,3,Technical Degree,197,4,Female,3,1,Research Scientist,1,Single,3204.0,5,No,14,3,4,1,8,3,3,3,2,2,2,496.89999999999964,0.625
